league,season,team,wins,losses,games,scored,allowed,close_wins,close_losses,close_games
MLB,1914,St. Louis Cardinals,81,72,153,549,531,32,21,53
MLB,1914,Philadelphia Phillies,74,80,154,651,687,22,24,46
MLB,1914,New York Yankees,70,84,154,532,545,26,30,56
MLB,1914,Los Angeles Dodgers,75,79,154,622,618,27,27,54
MLB,1914,Detroit Tigers,80,73,153,595,598,26,22,48
MLB,1914,Cincinnati Reds,60,94,154,523,644,22,34,56
MLB,1914,Chicago White Sox,70,84,154,476,549,30,19,49
MLB,1914,Boston Red Sox,91,62,153,559,480,23,22,45
MLB,1914,Cleveland Guardians,51,102,153,526,697,16,30,46
MLB,1914,Chicago Cubs,78,76,154,598,631,27,16,43
MLB,1914,Baltimore Orioles,71,82,153,506,598,27,21,48
MLB,1914,San Francisco Giants,84,70,154,664,568,18,25,43
MLB,1914,Pittsburgh Pirates,69,85,154,495,532,20,34,54
MLB,1914,Oakland Athletics,98,53,151,713,493,21,22,43
MLB,1914,Minnesota Twins,81,72,153,553,500,30,33,63
MLB,1914,Atlanta Braves,94,59,153,646,537,33,20,53
MLB,1915,San Francisco Giants,69,83,152,571,617,20,24,44
MLB,1915,Oakland Athletics,43,109,152,536,880,18,27,45
MLB,1915,Minnesota Twins,85,68,153,565,487,25,23,48
MLB,1915,Detroit Tigers,100,54,154,773,592,34,16,50
MLB,1915,Cincinnati Reds,71,83,154,498,567,28,21,49
MLB,1915,Chicago Cubs,73,80,153,560,610,20,31,51
MLB,1915,Baltimore Orioles,63,91,154,507,665,23,20,43
MLB,1915,Atlanta Braves,83,69,152,569,532,30,21,51
MLB,1915,St. Louis Cardinals,72,81,153,582,593,21,29,50
MLB,1915,Pittsburgh Pirates,73,81,154,556,519,21,26,47
MLB,1915,Philadelphia Phillies,90,62,152,588,462,24,24,48
MLB,1915,New York Yankees,69,83,152,579,583,22,32,54
MLB,1915,Los Angeles Dodgers,80,72,152,534,558,32,20,52
MLB,1915,Cleveland Guardians,57,95,152,535,666,21,30,51
MLB,1915,Chicago White Sox,93,61,154,716,508,23,26,49
MLB,1915,Boston Red Sox,101,50,151,654,484,29,21,50
MLB,1916,St. Louis Cardinals,60,93,153,476,629,26,25,51
MLB,1916,Philadelphia Phillies,91,62,153,581,489,29,14,43
MLB,1916,New York Yankees,80,74,154,566,550,35,24,59
MLB,1916,Los Angeles Dodgers,93,60,153,573,459,28,24,52
MLB,1916,Cleveland Guardians,77,77,154,623,595,21,29,50
MLB,1916,Cincinnati Reds,60,93,153,504,616,26,41,67
MLB,1916,Chicago White Sox,89,65,154,598,494,29,27,56
MLB,1916,Boston Red Sox,91,63,154,550,480,33,18,51
MLB,1916,San Francisco Giants,86,66,152,590,497,27,23,50
MLB,1916,Pittsburgh Pirates,65,89,154,481,583,30,31,61
MLB,1916,Oakland Athletics,36,117,153,442,771,11,32,43
MLB,1916,Minnesota Twins,76,77,153,512,519,29,32,61
MLB,1916,Detroit Tigers,87,67,154,668,593,29,20,49
MLB,1916,Chicago Cubs,67,85,152,504,525,23,37,60
MLB,1916,Atlanta Braves,89,63,152,531,442,32,26,58
MLB,1916,Baltimore Orioles,79,75,154,584,541,30,35,65
MLB,1917,Oakland Athletics,55,98,153,528,690,18,26,44
MLB,1917,New York Yankees,71,82,153,511,545,25,27,52
MLB,1917,Los Angeles Dodgers,70,81,151,499,547,20,30,50
MLB,1917,Detroit Tigers,78,75,153,630,568,29,25,54
MLB,1917,Cincinnati Reds,78,76,154,588,598,27,22,49
MLB,1917,Chicago Cubs,74,80,154,541,556,24,20,44
MLB,1917,Baltimore Orioles,57,97,154,509,686,18,28,46
MLB,1917,Atlanta Braves,72,81,153,525,541,19,25,44
MLB,1917,St. Louis Cardinals,82,70,152,527,563,29,19,48
MLB,1917,Pittsburgh Pirates,51,103,154,448,579,22,40,62
MLB,1917,Cleveland Guardians,88,65,153,578,537,37,26,63
MLB,1917,Chicago White Sox,99,54,153,646,454,31,24,55
MLB,1917,San Francisco Giants,98,56,154,623,445,28,22,50
MLB,1917,Philadelphia Phillies,87,65,152,575,497,29,20,49
MLB,1917,Minnesota Twins,74,79,153,539,561,25,33,58
MLB,1917,Boston Red Sox,90,62,152,543,443,30,24,54
MLB,1918,Minnesota Twins,72,56,128,458,409,32,18,50
MLB,1918,Boston Red Sox,75,51,126,474,380,24,18,42
MLB,1918,St. Louis Cardinals,51,78,129,443,516,21,29,50
MLB,1918,San Francisco Giants,71,53,124,480,415,22,17,39
MLB,1918,Philadelphia Phillies,55,68,123,419,496,24,21,45
MLB,1918,Cincinnati Reds,68,60,128,523,489,22,27,49
MLB,1918,Chicago White Sox,57,67,124,457,446,21,30,51
MLB,1918,Cleveland Guardians,73,54,127,497,440,28,24,52
MLB,1918,Oakland Athletics,52,76,128,406,532,19,23,42
MLB,1918,New York Yankees,60,63,123,482,464,22,27,49
MLB,1918,Los Angeles Dodgers,57,69,126,360,463,21,24,45
MLB,1918,Detroit Tigers,55,71,126,469,550,17,19,36
MLB,1918,Chicago Cubs,84,45,129,528,383,26,17,43
MLB,1918,Atlanta Braves,53,71,124,424,469,22,25,47
MLB,1918,Pittsburgh Pirates,65,60,125,463,409,28,26,54
MLB,1918,Baltimore Orioles,58,64,122,422,444,20,24,44
MLB,1919,Atlanta Braves,57,82,139,464,562,23,28,51
MLB,1919,Philadelphia Phillies,47,90,137,501,690,15,20,35
MLB,1919,New York Yankees,80,59,139,574,502,27,21,48
MLB,1919,Minnesota Twins,56,84,140,529,566,14,36,50
MLB,1919,Cincinnati Reds,96,44,140,577,401,29,18,47
MLB,1919,Baltimore Orioles,67,72,139,530,564,29,21,50
MLB,1919,Chicago Cubs,75,65,140,454,407,28,28,56
MLB,1919,Detroit Tigers,80,60,140,618,578,25,23,48
MLB,1919,St. Louis Cardinals,54,83,137,462,551,17,27,44
MLB,1919,Cleveland Guardians,84,55,139,636,537,26,17,43
MLB,1919,Boston Red Sox,66,71,137,561,549,24,23,47
MLB,1919,San Francisco Giants,87,53,140,605,470,27,19,46
MLB,1919,Pittsburgh Pirates,71,68,139,472,466,25,23,48
MLB,1919,Oakland Athletics,36,104,140,457,742,15,30,45
MLB,1919,Los Angeles Dodgers,69,71,140,516,504,23,24,47
MLB,1919,Chicago White Sox,88,52,140,667,534,30,19,49
